Gene Name,S1_MS1 precursor area,S10_MS1 precursor area,S12_MS1 precursor area,S13_MS1 precursor area,S14_MS1 precursor area,S15_MS1 precursor area,S16_MS1 precursor area,S17_MS1 precursor area,S18_MS1 precursor area,S19_MS1 precursor area,S2_MS1 precursor area,S20_MS1 precursor area,S21_MS1 precursor area,S22_MS1 precursor area,S23_MS1 precursor area,S24_MS1 precursor area,S25_MS1 precursor area,S26_MS1 precursor area,S27_MS1 precursor area,S28_MS1 precursor area,S29_MS1 precursor area,S3_MS1 precursor area,S30_MS1 precursor area,S31_MS1 precursor area,S32_MS1 precursor area,S33_MS1 precursor area,S34_MS1 precursor area,S35_MS1 precursor area,S36_MS1 precursor area,S37_MS1 precursor area,S38_MS1 precursor area,S4_MS1 precursor area,S5_MS1 precursor area,S6_MS1 precursor area,S7_MS1 precursor area,S8_MS1 precursor area,S9_MS1 precursor area
ZC3H4,3292411049,9225297019,11199015298,9816841927,9432169026,4075444285,3517532977,9446879338,8561608957,9104417627,3842675924,6818227802,10736389674,10442206529,10550264338,3066514718,10406575308,7934941111,6280250231,9259516689,7414316143,7260753456,7206838576,8116194351,7828218877,2625308700,2600885862,5434122583,5794857174,6827488858,2219125121,3794063161,7705178234,3225897056,3466211227,9172480402,7615126361
STT3B,10425648764,10833398723,10532534507,12705906395,18539215758,17109879314,17660720318,10772504518,9226532601,8160296380,2283231645,8980404662,9070429777,13558599991,17883088192,3081505470,1937113492,19135316560,11405944877,8903852192,8525630277,3003088949,16158596085,7062207868,14524987126,3263286414,13238667429,11534831987,9542630964,11963290100,7367191605,19925372285,17698962452,18701391405,22728962145,3320750738,4933203249
KATNA1,94654624.13,1557213380,1568629391,2374239776,2549051792,1995215003,899823153.7,1403396511,1428823537,811749625.5,908764803.6,778782313.8,2500140027,1597375239,1528168266,1559232240,1467552291,1590283582,1830841278,1218408184,1348801186,697523122.4,114793628.7,1158915117,10975111890,168871819.2,1581001356,920979794.6,1144104019,1186504678,9575962405,793517374.7,1597663659,1102721996,1196483121,1461918290,1774756745
NES,2.02721E+11,1.71062E+11,83988506465,1.00164E+11,1.77857E+11,1.67337E+11,1.78899E+11,2.01751E+11,84321335922,1.2769E+11,1.61633E+11,1.64069E+11,2.121E+11,2.21197E+11,2.49789E+11,2.53281E+11,89475680548,1.41915E+11,1.04558E+11,1.22322E+11,1.2841E+11,1.34647E+11,1.07857E+11,1.785E+11,1.60601E+11,2.17717E+11,1.98148E+11,2.33485E+11,1.75313E+11,1.00067E+11,2.72084E+11,1.38819E+11,1.61044E+11,1.8615E+11,1.20318E+11,1.36478E+11,2.10729E+11
PNN,19662503733,22237673765,14647395875,25550318012,24157286434,22022064368,19863938572,22453927296,11315709996,14151615867,21241327789,15382350483,19039800118,22445688262,21624330202,28383580576,10586227556,20606942797,33023808491,24111805965,15902628134,18571374518,11757366444,13498758807,19260132102,16012642395,10832870091,13234740521,13327611009,12197246173,9306052185,20443377184,16645586133,22409138938,14714366450,17884502342,23843066251
PRPF4B,50827296457,67682856001,81303655158,70667938456,60956082744,30349851170,36829602650,41519124903,50432223428,23624792010,77116841061,33701393900,45710213612,39105779248,16091521482,55800654389,42775822512,28952326426,57310936626,57093922775,54869725873,17989930714,45592709835,29161664433,62162592845,51497598311,41877465139,46982715253,52460444030,50674550797,49411339408,33157022772,58131457542,71381823128,43129584006,55077356947,70824361219
SRRM2,2.96812E+11,76033769639,2.42797E+11,1.64506E+11,2.82966E+11,1.73415E+11,2.4845E+11,74056460962,2.31143E+11,1.81612E+11,81586521542,2.55053E+11,2.34784E+11,2.20662E+11,21773718391,1.97819E+11,1.42035E+11,1.29653E+11,1.50592E+11,2.05142E+11,1.13394E+11,35417645258,85406467479,1.63604E+11,91432909221,1.07985E+11,1.91907E+11,1.31594E+11,61258027434,1.36041E+11,1.34386E+11,3.02878E+11,1.97937E+11,2.33541E+11,2.03456E+11,27277642741,2.73505E+11
TNKS1BP1,42444739747,32799302935,47418432666,28032676121,33257536812,31018541068,30782035269,30393996958,32667204132,37392150630,42084103216,33976806397,26204913838,74590396968,21010059480,24520165599,20204416953,24956467198,3913102798,4830500949,31424520185,33193614218,32027358922,29280242643,25537206536,26520492715,18591685858,17246455373,14506044739,17869167346,28347943129,86162083688,25658452739,26605676306,42048162040,40139227244,94784720440
CRKL,258884569.7,447126512.1,453032596.1,388556876.1,416776490.6,321503617.9,330176282.2,349599853.1,341781743.7,512283376,597975163.1,378438893.8,286774335.8,405673308.3,651974385.7,414365305,341663704.7,368491217.7,281567234.3,443957248.4,327356280.2,428478451.5,412188070.1,450569820.4,360862675.9,182471942.6,128878308.1,250797664.1,332567847.1,283242066.3,319053254.9,312507706.8,521396886.8,503521941.4,387982356.5,442749663.5,302398941.9
LARP6,3229528720,191405106.1,276112068.7,2197157236,5931197638,3296027081,3565706524,2722883645,500776145,664265912.5,3481083384,501024672.3,413398480.7,2744766823,6526888422,775640927.8,730310208.5,737803296.1,10361565398,659211904.4,430738196.7,2735766654,998747822.6,1868277144,1930340862,1440010195,327481315.7,415134437.5,316978028.8,444288008.3,542371638.3,407106843.2,457604420.2,2987216495,3458950881,513577687.3,2848134283
