Gene Name,S1_MS1 precursor area,S10_MS1 precursor area,S11_MS1 precursor area,S12_MS1 precursor area,S13_MS1 precursor area,S14_MS1 precursor area,S15_MS1 precursor area,S16_MS1 precursor area,S17_MS1 precursor area,S18_MS1 precursor area,S19_MS1 precursor area,S2_MS1 precursor area,S20_MS1 precursor area,S21_MS1 precursor area,S22_MS1 precursor area,S23_MS1 precursor area,S25_MS1 precursor area,S26_MS1 precursor area,S27_MS1 precursor area,S28_MS1 precursor area,S29_MS1 precursor area,S3_MS1 precursor area,S30_MS1 precursor area,S31_MS1 precursor area,S32_MS1 precursor area,S33_MS1 precursor area,S34_MS1 precursor area,S35_MS1 precursor area,S36_MS1 precursor area,S37_MS1 precursor area,S38_MS1 precursor area,S4_MS1 precursor area,S5_MS1 precursor area,S6_MS1 precursor area,S7_MS1 precursor area,S8_MS1 precursor area,S9_MS1 precursor area
MT-ATP8,4124917658,1573393663,7420251200,7013221123,6858262624,7096989115,3834376512,5486889400,6240231361,3268731155,3448832281,7546429132,NA,8961240500,6983348769,5371536558,5237832237,6772589841,3857994378,3437106144,4442328427,7779929669,5936659922,2794649919,7073284930,4612085815,11624113080,5292079075,6257009052,476186518.3,7263238614,5589842769,2223402850,8363101461,8569570285,9881410039,6616380663
ELP1,877233130.9,1236675299,509389883.4,793385214.8,1388421682,1524076717,1375921572,412614008.2,611420719.8,349924774.8,575993446.3,1507687951,NA,931499447.2,642331814.2,731334589,692087613.9,2129441298,1335810372,1978822147,955502649.7,1889288600,922585036.9,787498178.7,4457455232,773689410.2,718148438.9,600072530.8,1073862856,716777658.5,538082961.4,1709682080,778849113.1,1997212927,3984287021,969103738.4,1484206181
EIF3I,12720501483,9353484563,11283624187,5286591926,7622003308,10820188608,7241957832,8143543965,7336150090,10706271703,7899627847,8794455696,4574223945,12559977658,10441697962,11575360145,4915697220,8863095160,6989539405,11289129424,11778218726,13301001201,11051853051,7433855590,7317307758,8647358803,11425922293,5259985814,10527725230,10623534205,11197246524,8298396476,9720287721,12165045740,7844480374,12219659254,7862069745
TRMT1L,563352620.6,372962138.3,441404743,460927397.2,394536134.9,648877954,590077800.9,364722933.8,592061101.6,583842384.8,527684925.4,466142010.7,NA,555308029.8,497871811.2,532022137.7,520791384.4,650921594.8,621234780.8,972018247.9,893990952.7,890031589.5,681391812,587068444.7,333207897.2,410307786.1,403788274,NA,238998773.8,532744699.1,136438859.3,922219950.5,354732730.9,461631599.8,617893013.1,903524033.9,368329792
PAFAH1B1,8309422416,7244130695,5308531015,7158825903,8375613073,28127311084,7634419665,7046989999,8564267192,8145597495,5103689235,9334554513,NA,8323630182,7546405791,9907653250,4706485517,6720795140,8078486515,10982138585,9049143282,8827498917,7905198641,8757202584,7359317006,6517004033,6715797072,10448304949,8089748287,7653337608,9352167421,8855344685,7405294405,8294440325,6899813923,10912174724,8302067227
AHNAK,45703179188,47976167930,80059608000,70895915085,28553530969,32330625158,53004227802,25507211263,48666524400,39751351623,39108731399,32773105502,2331548643,46187199815,34796641026,37671426709,20557137415,29417075207,21875795119,16434224848,63281219978,38637866216,52156840638,46519131339,47015351081,36847022628,49985339630,17506314256,17110966426,34064787046,35617755602,38239261103,20961220126,36830373494,31913180032,37718165179,45119737853
BCKDHB,1181400372,1552545433,1319137258,1335044569,1390308671,1381170039,848671773.7,708626853.8,1422976564,3554675522,710834721.4,1326395175,NA,1474900142,1229136671,1436156028,713238403.4,772262676.5,1208297409,1229960268,1370338925,1183565636,1034814181,1739338488,1449820512,1138986595,1423215586,1034442632,1287248298,1453178941,1255190905,1008375118,936435326.3,953114173.5,1673313843,1914508640,1761439964
UBA2,5551545574,5677478783,5466186119,6156133515,5556740513,5314449861,5310564342,7526503545,5749054442,5090586325,5364902859,6403031561,4310005105,4747675296,6911122007,8552621261,3819756614,7149476760,7638123263,8450869520,6511297177,7010827572,8205132424,9165081173,7013942748,5056669384,5765309985,4459655643,5035182850,4950754687,4703362563,6651648438,4368388857,6750959569,6561124767,8709578193,5881359627
MYH3,1853187931,1873732206,NA,225835038.8,9418430804,11205502683,201646107.1,2236906158,2643064325,1651687818,NA,2728710585,2740045734,13380610631,15397492265,11530009976,1827777624,3460311036,NA,6530118585,1693565275,1127526024,2002264694,10837897548,11799529730,12204572828,14220193170,10156171755,12236881963,15915521806,12711424977,141542382.9,4935971577,14945694402,107449057.3,NA,2448366691
EXOC2,1324265938,749547957.5,813042723.9,1303434456,1503154518,800704305.2,1087334803,736303463.5,859218833.7,894557070.3,1099795813,1214639808,141852920.3,1254161028,769708758,740696980.8,944215036.6,1207285320,2993287310,860907560.7,970629843.5,2069446490,2316944196,635836825.3,792126755.5,708647442.5,727796355.2,1476435518,1087914320,1021045729,1107059887,1825017588,2073152907,1052205326,1202345228,1387582260,924357918.9
