Protein,Localization,Length,Mass,Hydrophobic,Positive Charged,Negative Charged,Polar,Hydropathicity
ABR,Cytosol,859,97598,383,129,118,229,-345
ABTB1,Cytosol,478,53979,230,67,74,107,-57.3
ACTR1A,Cytosol,376,42614,184,57,52,83,-107
ACTR2,Cytosol,394,44761,196,58,53,87,-72.8
ACTR3,Cytosol,418,47371,203,57,57,101,-111.3
AGT,Cytosol,485,53154,258,52,47,128,31.3
AGTPBP1,Cytosol,1226,138448,527,167,160,372,-514.1
ALDH9A1,Cytosol,494,53802,260,55,56,123,-21.7
ALOX15,Cytosol,662,74804,339,89,80,154,-109.8
ALS2,Cytosol,1657,183634,764,204,192,497,-471.2
AMN1,Cytosol,258,28408,122,35,24,77,34.3
ANAPC13,Cytosol,74,8521,31,7,19,17,-67.8
ANKMY2,Cytosol,441,49299,194,67,63,117,-174.3
ANKRD28,Cytosol,1053,112966,514,132,116,291,-120
ANKRD44,Cytosol,993,107603,480,142,123,248,-156.3
ANXA7,Cytosol,488,52739,254,43,45,146,-223
AP1G1,Cytosol,822,91351,398,99,89,236,-91.8
AP1G2,Cytosol,785,87117,402,105,90,188,-38.8
AP1M1,Cytosol,423,48587,195,64,55,109,-119.4
AP1M2,Cytosol,423,48108,201,60,51,111,-69.6
AP1S1,Cytosol,158,18733,73,25,26,34,-25.4
AP3B1,Cytosol,1094,121320,479,152,151,312,-418.5
AP3D1,Cytosol,1153,130158,501,204,158,290,-567
AP3M1,Cytosol,418,46939,206,51,45,116,-19.7
AP3S1,Cytosol,193,21732,97,23,25,48,-2
AP4E1,Cytosol,1137,127287,523,142,138,334,-129.9
APPL1,Cytosol,709,79663,290,95,103,221,-401.6
ARAP3,Cytosol,1544,169844,760,199,175,410,-616.2
ARHGEF37,Cytosol,675,76278,317,91,80,187,-241.9
ARHGEF5,Cytosol,1597,176799,689,212,223,473,-1251.3
ARL6,Cytosol,186,21097,85,30,22,49,-35
ARPC1B,Cytosol,372,40950,168,55,36,113,-73.8
ARPC2,Cytosol,300,34333,133,53,43,71,-131.8
ARPC5L,Cytosol,153,16941,74,23,22,34,-60.3
ASAP1,Cytosol,1129,125498,469,171,148,341,-783.3
ASAP2,Cytosol,1006,111651,441,151,135,279,-582.9
ASAP3,Cytosol,903,99155,411,128,116,248,-477.3
ATP6V1A,Cytosol,617,68304,305,76,81,155,-114.8
ATP6V1C1,Cytosol,382,43942,170,58,52,102,-119.7
ATP6V1E1,Cytosol,226,26145,102,38,36,50,-120.3
AVEN,Cytosol,362,38506,170,50,63,79,-336.2
AVL9,Cytosol,648,71947,305,84,77,182,-219.5
BAX,Cytosol,192,21184,103,20,23,46,-10.5
BCAR3,Cytosol,825,92566,375,125,99,226,-454.6
BCR,Cytosol,1271,142819,553,194,175,349,-795.4
BIN3,Cytosol,253,29665,103,47,43,60,-210.2
BIRC6,Cytosol,4857,530269,2302,553,527,1475,-671.3
BTBD10,Cytosol,475,53779,187,84,67,137,-385.5
C3orf14,Cytosol,128,15007,52,19,19,38,-90.2
CAMK1,Cytosol,370,41337,175,51,57,87,-104.7
CAMK2D,Cytosol,499,56369,226,79,63,131,-199.9
CAMKMT,Cytosol,323,36128,147,47,40,89,-75.4
CASKIN2,Cytosol,1202,126783,646,145,124,287,-600
CCT2,Cytosol,535,57488,281,79,72,103,-7.9
CCT3,Cytosol,545,60534,256,80,76,133,-137.6
CCT4,Cytosol,539,57924,273,72,64,130,15.3
CCT5,Cytosol,541,59671,271,79,82,109,-103.8
CCT6A,Cytosol,531,58024,269,82,75,105,-51.3
CCT8,Cytosol,548,59621,280,71,74,123,-37.1
CDC42EP5,Cytosol,148,15207,94,19,15,20,-66.6
CEP44,Cytosol,390,44140,162,53,61,114,-157.8
